state_school_id,school_name,nces_id,district,county,school_type,latitude,longitude,geocode_address
350031,BEVERLY SHORES ELEMENTARY SCHOOL,120105001087,LAKE,LAKE,Elementary,28.829419,-81.882624,"1108 GRIFFIN RD, LEESBURG, FL 34748"
350035,LAKE SUCCESS ELEMENTARY SCHOOL,120105010775,LAKE,LAKE,Elementary,28.839152,-81.688586,"310 W TAYLOR AVE, EUSTIS, FL 32726"
350061,EUSTIS ELEMENTARY SCHOOL,120105001090,LAKE,LAKE,Elementary,28.851231,-81.677797,"714 E CITRUS AVE, EUSTIS, FL 32726"
350067,SAWGRASS BAY ELEMENTARY SCHOOL,120105007372,LAKE,LAKE,Elementary,28.404916,-81.687684,"16325 SUPERIOR BLVD, CLERMONT, FL 34714"
350068,GRASSY LAKE ELEMENTARY SCHOOL,120105006998,LAKE,LAKE,Elementary,28.583957,-81.729389,"1100 FOSGATE RD, MINNEOLA, FL 34715"
350069,SORRENTO ELEMENTARY,120105007655,LAKE,LAKE,Elementary,28.816374,-81.550119,"24605 WALLICK RD, SORRENTO, FL 32776"
350071,EUSTIS HEIGHTS ELEMENTARY SCHOOL,120105001091,LAKE,LAKE,Elementary,28.839152,-81.688586,"310 W TAYLOR AVE, EUSTIS, FL 32726"
350080,EAST RIDGE MIDDLE SCHOOL,120105007239,LAKE,LAKE,Middle/Junior,28.538573,-81.719881,"13201 EXCALIBUR RD, CLERMONT, FL 34711"
350081,EUSTIS HIGH SCHOOL,120105001092,LAKE,LAKE,Senior High,28.846901,-81.672234,"1300 E WASHINGTON AVE, EUSTIS, FL 32726"
350101,FRUITLAND PARK ELEMENTARY SCHOOL,120105001093,LAKE,LAKE,Elementary,28.859799,-81.909747,"304 W FOUNTAIN ST, FRUITLAND PARK, FL 34731"
350113,GRAY MIDDLE SCHOOL,120105001095,LAKE,LAKE,Middle/Junior,28.556791,-81.855205,"205 E MAGNOLIA ST, GROVELAND, FL 34736"
350119,THE VILLAGES ELEMENTARY OF LADY LAKE SCHOOL,120105003593,LAKE,LAKE,Elementary,28.930106,-81.935593,"695 ROLLING ACRES RD, LADY LAKE, FL 32159"
